env,policy,metric,value,se,n_episodes,n_observations,published_value,abs_diff,agrees
Empty-Random-6x6,nav3,goal_visibility,0.5578793465132541,0.003959700859586828,200,15731,0.562,0.004120653486745951,True
Empty-Random-6x6,nav3,initial_phi_variance,0.047559718204562035,,200,0,0.046,0.0015597182045620356,True
Empty-Random-6x6,nav3,random_success_rate,0.695,0.03255572146336186,200,0,0.67,0.02499999999999991,False
Empty-Random-6x6,all7,goal_visibility,0.546875,0.003274986085952712,200,23104,,,
Empty-Random-6x6,all7,initial_phi_variance,0.047559718204562035,,200,0,,,
Empty-Random-6x6,all7,random_success_rate,0.385,0.034407484650872115,200,0,,,
Empty-8x8,nav3,goal_visibility,0.26484848484848483,0.002217377221054911,200,39600,0.27,0.005151515151515185,False
Empty-8x8,nav3,initial_phi_variance,0.0,,200,0,0.0,0.0,True
Empty-8x8,nav3,random_success_rate,0.515,0.03533942557541082,200,0,,,
Empty-8x8,all7,goal_visibility,0.2268119981007824,0.001902694292106424,200,48441,,,
Empty-8x8,all7,initial_phi_variance,0.0,,200,0,,,
Empty-8x8,all7,random_success_rate,0.16,0.02592296279363144,200,0,,,
FourRooms,nav3,goal_visibility,0.09406269483539284,0.0009332581207878788,1000,97839,0.094,6.269483539284026e-05,True
FourRooms,nav3,initial_phi_variance,0.051750995375301784,,1000,0,0.053,0.0012490046246982148,True
FourRooms,nav3,random_success_rate,0.062,0.007626008130076967,1000,0,0.093,0.031,False
FourRooms,all7,goal_visibility,0.09817504202872132,0.0009469143830741081,1000,98742,,,
FourRooms,all7,initial_phi_variance,0.051750995375301784,,1000,0,,,
FourRooms,all7,random_success_rate,0.042,0.0063431853196954605,1000,0,,,
