section,metric,value,status,source,std,se,t,same_sign_seeds,n,cosine,harm_recovered_fraction,harm_removed_fraction,note,n_episodes,n_observations,published,abs_diff,agrees,policy
failure_mode_i,closed_form_naive_return,109.25483399593904,reproduced,analytic: 0.5*(max discrete cosine+1)/2*256,,,,,,0.7071067811865475,,,,,,,,,
failure_mode_i,Empty-8x8.success_rate.final,0.0,reproduced,main_logs/empty-8x8_intention_naive_seed{seed}/evaluation,0.0,,,,8,,,,,,,,,,
failure_mode_i,Empty-8x8.episode_length.final,256.0,reproduced,main_logs/empty-8x8_intention_naive_seed{seed}/evaluation,0.0,,,,8,,,,,,,,,,
failure_mode_i,Empty-Random-6x6.success_rate.final,0.0,reproduced,task04_logs/empty-random-6x6_intention_naive_seed{seed}/evaluation,0.0,,,,8,,,,,,,,,,
failure_mode_i,Empty-Random-6x6.episode_length.final,144.0,reproduced,task04_logs/empty-random-6x6_intention_naive_seed{seed}/evaluation,0.0,,,,8,,,,,,,,,,
failure_mode_i,FourRooms.success_rate.final,0.008333333333333333,reproduced,task05_logs/fourrooms_intention_naive_seed{seed}/evaluation,0.014433756729740645,,,,8,,,,,,,,,,
failure_mode_i,FourRooms.episode_length.final,99.55833333333334,reproduced,task05_logs/fourrooms_intention_naive_seed{seed}/evaluation,0.8412540242598152,,,,8,,,,,,,,,,
failure_mode_ii.empty8,sparse.auc,0.8934166666666666,reproduced,task07_logs/empty-8x8_sparse_seed{seed}/evaluation/success_rate.csv,0.010482458893048172,,,,8,,,,,,,,,,
failure_mode_ii.empty8,potential_geo.auc,0.89675,reproduced,task07_logs/empty-8x8_potential_geo_seed{seed}/evaluation/success_rate.csv,0.01597719729280872,,,,8,,,,,,,,,,
failure_mode_ii.empty8,potential_geo-sparse,0.003333333333333355,reproduced,task07_logs/.../success_rate.csv,,0.007635547609804259,0.4365545870021504,5,8,,,,,,,,,,
failure_mode_ii.empty8,intention_pb_shifted.auc,0.8114583333333333,reproduced,task07_logs/empty-8x8_intention_pb_shifted_seed{seed}/evaluation/success_rate.csv,0.059585125264429696,,,,8,,,,,,,,,,
failure_mode_ii.empty8,intention_pb_shifted-sparse,-0.08195833333333336,reproduced,task07_logs/.../success_rate.csv,,0.021006276225762045,-3.9016117113046365,8,8,,,,,,,,,,
failure_mode_ii.empty8,intention_pb.auc,0.7587083333333333,reproduced,task07_logs/empty-8x8_intention_pb_seed{seed}/evaluation/success_rate.csv,0.083638181987123,,,,8,,,,,,,,,,
failure_mode_ii.empty8,intention_pb-sparse,-0.1347083333333333,reproduced,task07_logs/.../success_rate.csv,,0.033182781291000135,-4.059585366036481,8,8,,,,,,,,,,
failure_mode_ii.empty_random6,shifted-raw,0.06843750000000003,reproduced,task04_logs/.../evaluation/success_rate.csv,,0.02177368117623396,3.1431295170565723,8,8,,0.8091133004926107,,,,,,,,
main_result,Empty-8x8.potential_geo-sparse,0.003333333333333355,reproduced,task07_logs/.../evaluation/success_rate.csv,,0.007635547609804259,0.4365545870021504,5,8,,,,,,,,,,
main_result,Empty-Random-6x6.potential_geo-sparse,0.004166666666666652,reproduced,task04_logs/.../evaluation/success_rate.csv,,0.008643053913541263,0.4820826884046903,4,8,,,,,,,,,,
main_result,FourRooms.potential_geo-sparse,-0.06687499999999999,reproduced,task05_logs/.../evaluation/success_rate.csv,,0.015969457145060893,-4.187681484256552,8,8,,,,,,,,,,
causal_test,partial.potential_geo-sparse,-0.06687499999999999,reproduced,task05_logs/.../evaluation/success_rate.csv,,0.015969457145060893,-4.187681484256552,8,8,,,,,,,,,,
causal_test,partial.potential_bfs-sparse,-0.08633333333333332,reproduced,task05_logs/.../evaluation/success_rate.csv,,0.01678529212572816,-5.143391767427349,8,8,,,,,,,,,,
causal_test,augmented.potential_geo-sparse,-0.005208333333333327,reproduced,task06_logs/.../evaluation/success_rate.csv,,0.019653237697237747,-0.26501146597669023,4,8,,,,,,,,,,
causal_test,augmented.potential_bfs-sparse,-0.040291666666666656,reproduced,task06_logs/.../evaluation/success_rate.csv,,0.01828559124617583,-2.2034653473451717,7,8,,,,,,,,,,
causal_test,potential_geo.harm_change,0.06166666666666666,reproduced,task05_logs + task06_logs,,0.020927691080677147,2.9466540971452138,6,8,,,0.9221183800623054,,,,,,,
causal_test,potential_bfs.harm_change,0.046041666666666654,reproduced,task05_logs + task06_logs,,0.01447705320306742,3.180320333209197,8,8,,,0.5333011583011583,,,,,,,
lambda_sweep,lambda=0.auc,0.19170833333333331,reproduced,task05_logs/fourrooms_sparse_seed{seed}/evaluation/success_rate.csv,0.03409115130385334,,,,8,,,,,,,,,,
lambda_sweep,lambda=0.delta,0.0,reproduced,task05_logs/... vs task05 sparse,,0.0,0.0,0,8,,,,,,,,,,
lambda_sweep,lambda=0.1.auc,0.194125,reproduced,lambda_logs/fourrooms_potential_geo_lam0p1_seed{seed}/evaluation/success_rate.csv,0.025802098052074913,,,,8,,,,,,,,,,
