condition,seed,first_50_steps
sparse,42,4000.0
sparse,43,4000.0
sparse,44,6000.0
sparse,45,4000.0
sparse,46,6000.0
sparse,47,10000.0
sparse,48,6000.0
sparse,49,6000.0
dense,42,6000.0
dense,43,10000.0
dense,44,8000.0
dense,45,6000.0
dense,46,4000.0
dense,47,10000.0
dense,48,8000.0
dense,49,6000.0
intention_naive,42,
intention_naive,43,
intention_naive,44,
intention_naive,45,
intention_naive,46,
intention_naive,47,4000.0
intention_naive,48,
intention_naive,49,
intention_pb,42,4000.0
intention_pb,43,8000.0
intention_pb,44,4000.0
intention_pb,45,4000.0
intention_pb,46,8000.0
intention_pb,47,6000.0
intention_pb,48,4000.0
intention_pb,49,8000.0
potential_dist,42,6000.0
potential_dist,43,4000.0
potential_dist,44,4000.0
potential_dist,45,6000.0
potential_dist,46,6000.0
potential_dist,47,8000.0
potential_dist,48,6000.0
potential_dist,49,6000.0
intention_pb_shifted,42,8000.0
intention_pb_shifted,43,4000.0
intention_pb_shifted,44,4000.0
intention_pb_shifted,45,8000.0
intention_pb_shifted,46,6000.0
intention_pb_shifted,47,8000.0
intention_pb_shifted,48,6000.0
intention_pb_shifted,49,4000.0
