comparison,seed,auc_delta
potential_geo - sparse,42,-0.14899999999999994
potential_geo - sparse,43,-0.05000000000000003
potential_geo - sparse,44,-0.04433333333333336
potential_geo - sparse,45,-0.11266666666666669
potential_geo - sparse,46,-0.04466666666666666
potential_geo - sparse,47,-0.008000000000000007
potential_geo - sparse,48,-0.044999999999999984
potential_geo - sparse,49,-0.08133333333333331
potential_bfs - sparse,42,-0.10366666666666657
potential_bfs - sparse,43,-0.07133333333333336
potential_bfs - sparse,44,-0.035333333333333355
potential_bfs - sparse,45,-0.12400000000000001
potential_bfs - sparse,46,-0.12833333333333335
potential_bfs - sparse,47,-0.012333333333333335
potential_bfs - sparse,48,-0.06866666666666668
potential_bfs - sparse,49,-0.147
intention_naive - sparse,42,-0.26066666666666655
intention_naive - sparse,43,-0.15066666666666667
intention_naive - sparse,44,-0.18799999999999997
intention_naive - sparse,45,-0.22299999999999998
intention_naive - sparse,46,-0.18866666666666665
intention_naive - sparse,47,-0.136
intention_naive - sparse,48,-0.17233333333333328
intention_naive - sparse,49,-0.18366666666666662
potential_bfs - potential_geo,42,0.045333333333333364
potential_bfs - potential_geo,43,-0.02133333333333333
potential_bfs - potential_geo,44,0.009000000000000008
potential_bfs - potential_geo,45,-0.01133333333333332
potential_bfs - potential_geo,46,-0.0836666666666667
potential_bfs - potential_geo,47,-0.004333333333333328
potential_bfs - potential_geo,48,-0.023666666666666697
potential_bfs - potential_geo,49,-0.06566666666666668
